architecture,baseline_name,modality,regime,qubits_per_computer,total_computers,overall_success_chance,shots_for_success,duration_seconds,transpiled_depth,total_two_qubit_gates,inter_block_gates,transpile_time_sec
NISQ Superconducting (IBM Fez),IBM Fez,superconducting,nisq,156,1,0.09339299113622464,10,0.00103224999999997,3183,2044,0,10.77
NISQ Superconducting (IBM Torino),IBM Torino,superconducting,nisq,133,1,0.09387078960965795,10,0.001028999999999968,3197,2038,0,7.94
NISQ Trapped Ion,,trapped_ion,nisq,100,1,0.56832317776591,1,0.1080000000000018,2159,1079,0,0.65
NISQ Neutral Atom,,neutral_atom,nisq,100,1,1.0622429541212004e-05,94140,0.005117000000000264,4232,1079,0,0.71
NISQ Photonic,,photonic,nisq,100,1,9.96200134380759e-109,1003814359673423486294611047102368112745619560025596557951629527924843021657321782687496142248298337844330496,3.763200000000983e-08,18896,2357,0,0.63
FT Superconducting,,superconducting,ft,100,1,0.8633573856387456,1,0.00027260000000000327,2041,1293,0,17.89
FT Trapped Ion,,trapped_ion,ft,100,1,0.9336406354256584,1,0.1283800000000015,2087,1338,0,10.61
FT Neutral Atom,,neutral_atom,ft,100,1,0.5160904689632617,1,0.006559999999999902,2042,1305,0,18.11
FT Photonic,,photonic,ft,100,1,1.3856894888980812e-06,721662,1.175949999999978e-07,2050,1342,0,17.74
FT Superconducting,,superconducting,ft,50,2,0.1436045723366011,6,0.00029385000000000153,2059,1313,35,14.37
FT Trapped Ion,,trapped_ion,ft,50,2,0.33503189719343895,2,0.12518200000000165,2069,1338,20,16.03
FT Neutral Atom,,neutral_atom,ft,50,2,0.0184251820292226,54,0.006713999999999901,2117,1367,65,14.92
FT Photonic,,photonic,ft,50,2,4.979404281007393e-07,2008272,3.4113804000000355e-05,2049,1292,37,15.88
FT Superconducting,,superconducting,ft,25,4,0.006994046890723831,142,0.000350600000000001,2073,1329,94,13.41
FT Trapped Ion,,trapped_ion,ft,25,4,0.04315913192755842,23,0.1224150000000017,2088,1330,60,15.56
FT Neutral Atom,,neutral_atom,ft,25,4,0.0026740064274298203,373,0.006599999999999911,2124,1367,103,14.91
FT Photonic,,photonic,ft,25,4,8.139232106848251e-08,12286171,6.511420699999986e-05,2084,1345,68,14.71
FT Superconducting,,superconducting,ft,20,5,0.0002487504964520568,4020,0.00042569999999999837,2190,1417,159,15.9
FT Trapped Ion,,trapped_ion,ft,20,5,0.0008772648954912145,1139,0.11984300000000163,2119,1357,136,15.49
FT Neutral Atom,,neutral_atom,ft,20,5,0.002056714712330557,486,0.006600999999999908,2115,1384,108,17.25
FT Photonic,,photonic,ft,20,5,1.4382828924131273e-08,69527351,0.00010908633199999673,2114,1341,111,15.17
FT Superconducting,,superconducting,ft,10,10,4.733322895026691e-09,211268071,0.0006038500000000058,2298,1583,371,7.71
FT Trapped Ion,,trapped_ion,ft,10,10,2.1675131331755567e-07,4613582,0.11354300000000166,2214,1445,298,6.4
FT Neutral Atom,,neutral_atom,ft,10,10,1.0680696651248678e-07,9362685,0.006535999999999938,2253,1509,301,6.79
FT Photonic,,photonic,ft,10,10,1.630673885800533e-12,613243401214,0.00027810792599999547,2290,1535,284,6.63
